№,Name:,Description:,Price:,Image Url:
11,Продажа Lexus LX III Рестайлинг 2 570 5.7 ,"Описание
LeXUS LX570
Цвет: Белый жемчуг
Год выпуска: 2016.
Пробег: 98,000 км (Оригинал)
Комплектация максимальная.
Кузов оклеен бронепленкой Llumar.
Состояние идеальное, вложений не требует.
Родной краска 100%
Готов любой диагностика
Полностью обслужена.
Обмен HET !!!
Цена: 88 000$
Тел. 0773 18 88 88

Комплектация",$ 88 000,"https://im.mashina.kg/tachka/images//3/f/2/3f2a5fd27ff8e31945843feb709b14a4_1200x900.jpg
https://im.mashina.kg/tachka/images//c/a/c/cacec0674dbf4ffd00050f9ac10a557b_1200x900.jpg
https://im.mashina.kg/tachka/images//2/7/f/27f398cfacfe925614a28a898fe7223d_1200x900.jpg
https://im.mashina.kg/tachka/images//c/7/0/c70ab396e310be5088b517d39c038242_1200x900.jpg
https://im.mashina.kg/tachka/images//4/3/0/43042660765f328a0baec638b2eb955c_1200x900.jpg
https://im.mashina.kg/tachka/images//d/6/9/d69ceadde22f06f8fe93fdcc1ebfea06_1200x900.jpg
https://im.mashina.kg/tachka/images//b/d/7/bd70f42adc92b67b10e7169c10b2c84d_1200x900.jpg
https://im.mashina.kg/tachka/images//2/4/7/247bd0bd0c3b3853b48c31ec7bf4c372_1200x900.jpg
https://im.mashina.kg/tachka/images//2/f/7/2f781beddd034a1ceb39938de05658ec_1200x900.jpg
"
12,Продажа Land Rover Range Rover IV 5.0 ,"Описание
Срочно Горит 🔥 
2013 Год 
5.0 Бензин ⛽️ 
Сост идеаль 
Только Нал Обмен НЕЕТ 
Цена окончательно ниже не звоните 
Тел : 0773188888

Комплектация",$ 38 500,"https://im.mashina.kg/tachka/images//8/1/4/814495b1e1eca58529f807d81680a048_1200x900.jpg
https://im.mashina.kg/tachka/images//7/f/0/7f00d551294121eceea165c58dba9fef_1200x900.jpg
https://im.mashina.kg/tachka/images//4/b/8/4b8bd1c56fac15b23024840b11de4cce_1200x900.jpg
https://im.mashina.kg/tachka/images//9/d/6/9d6efa554ed957d3f0d8aa9776189eaa_1200x900.jpg
https://im.mashina.kg/tachka/images//5/b/9/5b90e4f6d69c5312e70f128eeea3b15f_1200x900.jpg
https://im.mashina.kg/tachka/images//d/d/d/ddde9796d4167175192932885003a26f_1200x900.jpg
"
13,Продажа Kia Sportage V 2.0 ,"Описание
✅Привоз из Южной Кореи 🇰🇷
✅ СОСТОЯНИЕ НОВОГО АВТО!!
✅Вся в родном Окрасе
2021. 09 месяц переходящий 2022
✅ Комплектация Prestige ✨
✅ Простые и надежные АКПП И 2,0-литровый турбодизель  ДВИГАТЕЛЬ.
✅ В машине есть система предупреждения о движении задним ходом с применением при необходимости экстренного торможения.
✅ Два ключа. 
✅ Панорамная Крыша 
✅ Цифравая приборная 
панель вместе с Монитором Космический вид Всеформатная магнитола с Блютузом
✅Подогрев 🔥 и Обдув 💨 передних сидений 
✅Подогрев Руля 
✅ Мульти-Руль
✅ 4 режима езды(SMART, ECO, NORMAL,SPORT)
✅ Камера заднего вида 
✅ Жирная резина, 17’ Алюминиевые Диски
✅ Система курсовой стабилизации (ESP / ESC / DSC / VSA) Анти-занос
✅ Прикуриватель, USB, Type C Зарядка 
✅Датчики слепых зон
✅Бесключевой доступ
✅ Электронный Ручник
✅Корректор Фар
✅Система Спуск горы 
✅Удержание полосы 
✅ Круиз-контроль
✅ Система Distronic — это интеллектуальная система круиз-контроля, которая готова взять часть утомительных обязанностей водителя на себя. Если Ваш автомобиль приближается к другому, который движется в попутном направлении с меньшей скоростью, то при включенной системе Distronic (активируется известным рычагом-переключателем системы ""Темпомат"") она автоматически ""сбросит газ"" или задействует тормозные механизмы, чтобы сохранить заданную минимальную дистанцию между автомобилями.
✅ Auto Hold водитель может отпустить педаль тормоза с сохранением тормозного эффекта, когда автомобиль остановился перед светофором или перекрестком
✅A/Off A OFF, она обозначает включение/выключение системы Старт-Стоп.
Данная система позволяет уменьшить расход топлива и улучшить экологию за счёт того, что во время вынужденной остановки автомобиль глохнет. Например, если машина останавливается на красный сигнал светофора или перед пешеходным переходом.
 Срочно 🚨 
Срочная цена 💲!!!

Комплектация

Внешний вид

обвес
тонировка
литые диски
люк


Салон

кожа


Мультимедиа

MP3
USB


Безопасность

антиблокировочная система (ABS)
антипробуксовочная система
система курсовой устойчивости
подушки безопасности
парктроник
камера заднего вида


Опции

полный электропакет
кондиционер
климат контроль
круиз-контроль
подогрев передних сидений
ксенон
корректор фар",$ 33 000,"https://im.mashina.kg/tachka/images//4/f/8/4f8ef4cea6eab545bc76e7d9a75a04b8_1200x900.jpg
https://im.mashina.kg/tachka/images//9/5/7/9577710bf6d4e76c4204c3d06ed3606d_1200x900.jpg
https://im.mashina.kg/tachka/images//4/6/f/46fc23709a0c5f40acbef7c757ffdb2f_1200x900.jpg
https://im.mashina.kg/tachka/images//c/a/2/ca270831120596603491d52e1096d8c2_1200x900.jpg
https://im.mashina.kg/tachka/images//f/5/6/f5637c4de59f8f1372668209fd0478c3_1200x900.jpg
https://im.mashina.kg/tachka/images//7/7/b/77b65b6ba9109708f99412c1feec0dea_1200x900.jpg
https://im.mashina.kg/tachka/images//f/c/5/fc55165fbf9cd0503f2001081e6a40f1_1200x900.jpg
https://im.mashina.kg/tachka/images//d/e/5/de591f292d809bdad996465fda53a30a_1200x900.jpg
https://im.mashina.kg/tachka/images//0/f/d/0fd07e38579b17f7eb34e4ea27be8b88_1200x900.jpg
https://im.mashina.kg/tachka/images//c/d/3/cd3eb8a5b64369b1870588ae9eac41bb_1200x900.jpg
https://im.mashina.kg/tachka/images//0/4/c/04cdb92df5d36b5eab4513caedb2ef0c_1200x900.jpg
https://im.mashina.kg/tachka/images//6/8/a/68ab37b6c1cf809f6095d8ada02742a4_1200x900.jpg
https://im.mashina.kg/tachka/images//b/7/b/b7ba566428a79b6856ceacdee563ef34_1200x900.jpg
https://im.mashina.kg/tachka/images//3/1/1/3114f92ddc89bf4608d13ffc1f519b78_1200x900.jpg
https://im.mashina.kg/tachka/images//a/c/1/ac191ecd0e4a0bd672e255836b246a6b_1200x900.jpg
https://im.mashina.kg/tachka/images//2/f/1/2f1eff423dd589544dc917207e4f780d_1200x900.jpg
https://im.mashina.kg/tachka/images//b/4/9/b49d0216e1a11125c0d4b42ba459627f_1200x900.jpg
https://im.mashina.kg/tachka/images//c/4/2/c42817bc8df9f8a3bad608f05eb546d1_1200x900.jpg
https://im.mashina.kg/tachka/images//7/2/7/727f88b72583addbcb982123d9991a9c_1200x900.jpg
https://im.mashina.kg/tachka/images//6/5/7/657c2f1dff401799d2a0f9ccf86b7704_1200x900.jpg
https://im.mashina.kg/tachka/images//d/7/4/d74bf8418696d3e6c79547d234e75bdf_1200x900.jpg
https://im.mashina.kg/tachka/images//4/3/1/4319ee3f5252da64d3918a5a7117f102_1200x900.jpg
"
14,Продажа Mercedes-Benz GL-класс II (X166) 550 4.7 ,"Описание
Переделан на GLS 6.3 AMG
В полной комплектации.

Комплектация",$ 49 000,"https://im.mashina.kg/tachka/images//3/c/3/3c3b95a417eec0348dc3c20ce8c32d96_1200x900.jpg
https://im.mashina.kg/tachka/images//3/4/1/341cbb996b9f23cd819dd2298110527d_1200x900.jpg
https://im.mashina.kg/tachka/images//9/7/d/97dab1e8a6d4e48a305e6f242ebbaaa2_1200x900.jpg
https://im.mashina.kg/tachka/images//4/1/f/41f5e8bbc6966c0624803e2ff7b30043_1200x900.jpg
https://im.mashina.kg/tachka/images//7/6/6/766357d3182bfaa3bbd2f0c8596ff377_1200x900.jpg
https://im.mashina.kg/tachka/images//1/f/4/1f41abaf1c793555da2e86b2b241f06f_1200x900.jpg
https://im.mashina.kg/tachka/images//3/7/c/37c54137d7efa1f84fed39fdc6e036a1_1200x900.jpg
https://im.mashina.kg/tachka/images//8/f/c/8fc31edeca6e08c2ee33805537b8c149_1200x900.jpg
https://im.mashina.kg/tachka/images//a/9/1/a9121a767004a176a31bad73597c3b30_1200x900.jpg
https://im.mashina.kg/tachka/images//7/b/1/7b13d5163dbea83fca82efdcc5968f63_1200x900.jpg
https://im.mashina.kg/tachka/images//f/4/1/f41a7d738a6833a6bd78f4a20e0baa34_1200x900.jpg
"
15,Продажа BYD Han I Рестайлинг Electro AT (380 кВт) 4WD ,"Описание
Новый в наличии

Комплектация",$ 43 000,"https://im.mashina.kg/tachka/images//c/1/2/c121352f140bcbaf71fa276793eb2f73_1200x900.jpg
https://im.mashina.kg/tachka/images//9/1/6/916323e8f3ec6ffb83345a7518b09766_1200x900.jpg
https://im.mashina.kg/tachka/images//7/2/a/72a103ebb859a7b245030399509bcb6b_1200x900.jpg
https://im.mashina.kg/tachka/images//d/b/4/db4a5869549748b05a38025389e47f41_1200x900.jpg
https://im.mashina.kg/tachka/images//5/4/2/542791258a3bc3506ee87d060d42ab0f_1200x900.jpg
https://im.mashina.kg/tachka/images//5/9/4/594745c1dd50651182d8f34fdaec4b63_1200x900.jpg
https://im.mashina.kg/tachka/images//d/5/4/d547196c83187c8a262a7b43d6f702bc_1200x900.jpg
"
16,Продажа Geely Monjaro 2.0 ,"Описание
В наличии
Серый
Растоможкой на физ лицо

Комплектация",$ 32 200,"https://im.mashina.kg/tachka/images//6/0/4/604266eb7b11a61bf5033fb34c3a0a07_1200x900.jpg
"
17,Продажа Geely Preface 2.0 ,"Описание
Описание отсутствует

Комплектация",$ 25 500,"https://im.mashina.kg/tachka/images//e/b/a/ebae887c7b1c59a16579c19100f8791f_1200x900.jpg
https://im.mashina.kg/tachka/images//8/8/c/88cfd4ed8736599bacd9cf7ac441d60d_1200x900.jpg
https://im.mashina.kg/tachka/images//f/3/c/f3c97905339dd1badcc50923689e56d6_1200x900.jpg
https://im.mashina.kg/tachka/images//1/d/2/1d20a0cab90fd2727890f9795ac6cc2e_1200x900.jpg
https://im.mashina.kg/tachka/images//f/0/1/f019f5f3de48fa0e28ce750fe6b6ca70_1200x900.jpg
https://im.mashina.kg/tachka/images//c/b/5/cb50b222cd71fd4ed99a21d100de570c_1200x900.jpg
https://im.mashina.kg/tachka/images//b/6/d/b6dcf9689f838bcc15b44138aa9eb7ee_1200x900.jpg
https://im.mashina.kg/tachka/images//3/3/5/33514dd47c63fc59656d6cd1e898cc2f_1200x900.jpg
https://im.mashina.kg/tachka/images//a/6/9/a69c76af2065e9be12e6707bba5a71b8_1200x900.jpg
"
18,Продажа Mercedes-Benz C-класс AMG IV (W205) 63 AMG 4.0 ,"Описание
c63 AMG Свежепригнан из Кореи, в топовой комплектации, год 2017 на черном кож салоне, камеры 360, панорама, проекция, система экстренного торможения, датчики слепых зон, автопарковка, hands free, безключевой доступ, подсветка 64цвета, дефлектора gt, заводской внешний пакет карбона, 19 диски vossen на новой резине, акустика 3D burmester, передняя губа edition1, авто в исключительном состоянии. Рассмотрю варианты обмена. Реальному покупателю хороший торг. 

Комплектация

Внешний вид

обвес
спойлер
литые диски
люк


Салон

кожа


Мультимедиа

CD
DVD
MP3
USB
сабвуфер


Безопасность

антиблокировочная система (ABS)
антипробуксовочная система
система курсовой устойчивости
подушки безопасности
парктроник
камера заднего вида


Опции

полный электропакет
сигнализация
кондиционер
климат контроль
круиз-контроль
подогрев передних сидений
обогрев зеркал
ксенон
биксенон
память сидений
память руля
датчик дождя
датчик света
бортовой компьютер
корректор фар
центральный замок",$ 65 000,"https://im.mashina.kg/tachka/images//a/d/5/ad508080a5f8ba24920fda5e49419914_1200x900.jpg
https://im.mashina.kg/tachka/images//b/e/9/be9eb11f1a952f5d4b09cb50b301abcb_1200x900.jpg
https://im.mashina.kg/tachka/images//e/5/7/e577d2af5a531839b0a886e02bc56304_1200x900.jpg
https://im.mashina.kg/tachka/images//6/a/6/6a6a0958f0ea03d1f6369864fcb3c7ec_1200x900.jpg
https://im.mashina.kg/tachka/images//3/0/e/30ece57e1393b05f9920cc94cb505095_1200x900.jpg
https://im.mashina.kg/tachka/images//2/7/7/27738b15c58fe9817a3b474a0432d1d1_1200x900.jpg
https://im.mashina.kg/tachka/images//4/7/d/47d0b06ad5307001e316c909758dd529_1200x900.jpg
https://im.mashina.kg/tachka/images//a/5/4/a54dc0f16c81d941dc90c1453b5ce845_1200x900.jpg
https://im.mashina.kg/tachka/images//b/6/1/b61bb823175fa7793e5c73d49f54196c_1200x900.jpg
https://im.mashina.kg/tachka/images//7/7/9/779d2f021f1714eccdfd0fb83a98009f_1200x900.jpg
https://im.mashina.kg/tachka/images//5/8/c/58cc9b1b1f2662ff1bf1fd7d15563fcb_1200x900.jpg
https://im.mashina.kg/tachka/images//a/2/6/a26bb37e1c8e31ab22a89f660e69234a_1200x900.jpg
"
19,Продажа Lexus GX I 470 4.7 ,"Описание
Продаю Lexus GX 470
Год выпуска: 2005 модель
Американец 
Объём 4.7  бензин/газ
(Италия оборудование)
Старый завоз, в городе с 2013-года из Америки
Цвет: Серый
Салон: Серая кожа, (не перешитый) Аквапринт, электронный шить прибор, 
Пробег: 220...миль
Полная комплектация 
Два Монитора, камера заднего вида, память и подогрев сидений и.тд
EVA полики 
Запаска,домкрат, катализатор  все на месте))
Снизу все сухо, ржавчины нету 
Все заводские стикера на месте 
Все стекла родные, включая лобовое, что по кузову что по салону дефектов нету 
Состояние отличное 
Цена 22300$микро торг 
0777601010 Ватсапп

Комплектация

Внешний вид

тонировка
спойлер
литые диски
люк


Салон

кожа
дерево


Мультимедиа

CD
DVD
MP3
USB


Безопасность

антиблокировочная система (ABS)
антипробуксовочная система
система курсовой устойчивости
подушки безопасности
камера заднего вида


Опции

полный электропакет
кондиционер
климат контроль
газобалонное оборудование
круиз-контроль
подогрев передних сидений
подогрев всех сидений
омыватель фар
пневмоподвеска
память сидений
память руля
датчик дождя
датчик света
бортовой компьютер
корректор фар
центральный замок",$ 22 300,"https://im.mashina.kg/tachka/images//0/8/9/089e2bf6fece451b245a49be50f6d965_1200x900.jpg
https://im.mashina.kg/tachka/images//8/e/8/8e827df80fec9cf1b1c7fef3e02b66b5_1200x900.jpg
https://im.mashina.kg/tachka/images//b/4/0/b4029e281f269c63199dbbadb5880182_1200x900.jpg
https://im.mashina.kg/tachka/images//0/1/8/0182806131c6470e5493a13106bd8390_1200x900.jpg
https://im.mashina.kg/tachka/images//d/4/b/d4b99044c67548e8ae63e6c7f031842b_1200x900.jpg
https://im.mashina.kg/tachka/images//5/1/b/51bd29f882f9cb46f1a9c903b7d70ca8_1200x900.jpg
https://im.mashina.kg/tachka/images//d/5/d/d5d3091f376096efb26974dc00d808d7_1200x900.jpg
"
20,Продажа Mercedes-Benz GLS I (X166) 350 d 3.0 ,"Описание
Mercedes GLS-350D
Год : 2017 
Пробег : 100тыс.км 
Объем : 3.0 дизель 
Цвет : серый 
Цвет салона : чёрный кожаный 
В максимальной комплектации ! 
В AMG обвесе ! 
Раздельная панорамная крыша 
Акустика harman Kardon 
В идеальном состоянии ! 
Из Кореи ! 
Цена : 57.000$ (на обмен дороже) 
Телефон : +996 995 999 998


Комплектация",$ 57 000,"https://im.mashina.kg/tachka/images//6/d/1/6d1cc86e133a446c29e2b22f0b641f64_1200x900.jpg
https://im.mashina.kg/tachka/images//2/6/1/26196c831d685fa91a80204f1ee8593e_1200x900.jpg
https://im.mashina.kg/tachka/images//a/3/f/a3f608fd14e18d8fe5d87ec411d057a8_1200x900.jpg
https://im.mashina.kg/tachka/images//f/d/a/fdac3747f90e11b293648f31a2924dc6_1200x900.jpg
https://im.mashina.kg/tachka/images//3/2/6/326734714779894bf9eb982d12267589_1200x900.jpg
https://im.mashina.kg/tachka/images//7/0/a/70a377fcd40f9cb359d2211890007955_1200x900.jpg
https://im.mashina.kg/tachka/images//1/7/6/176be201fc86a3684b33c8344aade99d_1200x900.jpg
https://im.mashina.kg/tachka/images//2/b/5/2b5f33b5e322d8068ffc0aa73e6006f8_1200x900.jpg
https://im.mashina.kg/tachka/images//f/3/7/f37523336675c64cf171be72ecfd70f4_1200x900.jpg
"
